"","cutoff","FP","FN","TP","TN","error.rate","doNothing cost","cost"
"outstring","0.06","0.65424739195231","0.0127118644067796","0.98728813559322","0.34575260804769","0.487320837927233","$3041,52","2848.31863285557"
"outstring","0.07","0.585692995529061","0.0296610169491526","0.970338983050847","0.414307004470939","0.441014332965821","$3041,52","2782.93825799338"
"outstring","0.08","0.536512667660209","0.038135593220339","0.961864406779661","0.463487332339791","0.40683572216097","$3041,52","2732.60749724366"
"outstring","0.09","0.506706408345753","0.0423728813559322","0.957627118644068","0.493293591654247","0.385887541345094","$3041,52","2701.26791620728"
"outstring","0.1","0.469448584202683","0.0635593220338984","0.936440677966102","0.530551415797317","0.363836824696803","$3041,52","2676.8743109151"
"outstring","0.11","0.450074515648286","0.0720338983050848","0.927966101694915","0.549925484351714","0.351708930540243","$3041,52","2661.82469680265"
"outstring","0.12","0.438152011922504","0.076271186440678","0.923728813559322","0.561847988077496","0.343991179713341","$3041,52","2651.65380374862"
"outstring","0.13","0.417287630402384","0.0889830508474576","0.911016949152542","0.582712369597616","0.331863285556781","$3041,52","2638.78169790518"
"outstring","0.14","0.402384500745156","0.0932203389830508","0.906779661016949","0.597615499254843","0.32194046306505","$3041,52","2625.08269018743"
"outstring","0.15","0.3725782414307","0.101694915254237","0.898305084745763","0.6274217585693","0.302094818081588","$3041,52","2597.68467475193"
"outstring","0.16","0.35618479880775","0.101694915254237","0.898305084745763","0.64381520119225","0.289966923925028","$3041,52","2578.28004410143"
"outstring","0.17","0.339791356184799","0.114406779661017","0.885593220338983","0.660208643815201","0.281146637265711","$3041,52","2570.70011025358"
"outstring","0.18","0.309985096870343","0.152542372881356","0.847457627118644","0.690014903129657","0.269018743109151","$3041,52","2570.89305402426"
"outstring","0.19","0.301043219076006","0.165254237288136","0.834745762711864","0.698956780923994","0.265711135611907","$3041,52","2572.13340683572"
"outstring","0.2","0.274217585692996","0.194915254237288","0.805084745762712","0.725782414307004","0.253583241455347","$3041,52","2567.97133406836"
"outstring","0.21","0.26080476900149","0.216101694915254","0.783898305084746","0.73919523099851","0.249173098125689","$3041,52","2571.802646086"
"outstring","0.22","0.248882265275708","0.224576271186441","0.775423728813559","0.751117734724292","0.242557883131202","$3041,52","2565.57331863286"
"outstring","0.23","0.239940387481371","0.233050847457627","0.766949152542373","0.760059612518629","0.238147739801544","$3041,52","2562.87210584344"
"outstring","0.24","0.225037257824143","0.25","0.75","0.774962742175857","0.231532524807056","$3041,52","2560.99779492834"
"outstring","0.25","0.217585692995529","0.254237288135593","0.745762711864407","0.782414307004471","0.227122381477398","$3041,52","2556.1190738699"
"outstring","0.26","0.193740685543964","0.266949152542373","0.733050847457627","0.806259314456036","0.212789415656009","$3041,52","2539.71885336273"
"outstring","0.27","0.187779433681073","0.275423728813559","0.724576271186441","0.812220566318927","0.21058434399118","$3041,52","2540.54575523705"
"outstring","0.28","0.18628912071535","0.283898305084746","0.716101694915254","0.81371087928465","0.211686879823594","$3041,52","2546.66482910695"
"outstring","0.29","0.181818181818182","0.296610169491525","0.703389830508475","0.818181818181818","0.211686879823594","$3041,52","2553.197353914"
"outstring","0.3","0.174366616989568","0.313559322033898","0.686440677966102","0.825633383010432","0.21058434399118","$3041,52","2560.14332965821"
"outstring","0.31","0.162444113263785","0.334745762711864","0.665254237288136","0.837555886736215","0.207276736493936","$3041,52","2565.73869900772"
"outstring","0.32","0.153502235469449","0.343220338983051","0.656779661016949","0.846497764530551","0.202866593164278","$3041,52","2563.0374862183"
"outstring","0.33","0.150521609538003","0.360169491525424","0.639830508474576","0.849478390461997","0.205071664829107","$3041,52","2575.2756339581"
"outstring","0.34","0.14903129657228","0.360169491525424","0.639830508474576","0.85096870342772","0.203969128996692","$3041,52","2573.51157662624"
"outstring","0.35","0.146050670640835","0.372881355932203","0.627118644067797","0.853949329359165","0.205071664829107","$3041,52","2581.80815876516"
"outstring","0.36","0.140089418777943","0.377118644067797","0.622881355932203","0.859910581222057","0.201764057331863","$3041,52","2578.69349503859"
"outstring","0.37","0.134128166915052","0.394067796610169","0.605932203389831","0.865871833084948","0.201764057331863","$3041,52","2587.40352811466"
"outstring","0.38","0.132637853949329","0.394067796610169","0.605932203389831","0.867362146050671","0.200661521499449","$3041,52","2585.6394707828"
"outstring","0.39","0.129657228017884","0.406779661016949","0.593220338983051","0.870342771982116","0.201764057331863","$3041,52","2593.93605292172"
"outstring","0.4","0.123695976154993","0.432203389830508","0.567796610169492","0.876304023845007","0.203969128996692","$3041,52","2610.52921719956"
"outstring","0.41","0.120715350223547","0.436440677966102","0.563559322033898","0.879284649776453","0.202866593164278","$3041,52","2610.94266813671"
"outstring","0.42","0.119225037257824","0.436440677966102","0.563559322033898","0.880774962742176","0.201764057331863","$3041,52","2609.17861080485"
"outstring","0.43","0.114754098360656","0.440677966101695","0.559322033898305","0.885245901639344","0.199558985667034","$3041,52","2607.82800441014"
"outstring","0.44","0.11177347242921","0.440677966101695","0.559322033898305","0.88822652757079","0.197353914002205","$3041,52","2604.29988974642"
"outstring","0.45","0.105812220566319","0.440677966101695","0.559322033898305","0.894187779433681","0.192943770672547","$3041,52","2597.24366041896"
"outstring","0.46","0.101341281669151","0.461864406779661","0.538135593220339","0.898658718330849","0.195148842337376","$3041,52","2611.65931642778"
"outstring","0.47","0.0968703427719821","0.474576271186441","0.525423728813559","0.903129657228018","0.195148842337376","$3041,52","2618.19184123484"
"outstring","0.48","0.0953800298062593","0.483050847457627","0.516949152542373","0.904619970193741","0.196251378169791","$3041,52","2624.31091510474"
"outstring","0.49","0.0938897168405365","0.491525423728814","0.508474576271186","0.906110283159464","0.197353914002205","$3041,52","2630.42998897464"
"outstring","0.5","0.0923994038748137","0.495762711864407","0.504237288135593","0.907600596125186","0.197353914002205","$3041,52","2632.60749724366"
"outstring","0.51","0.0923994038748137","0.5","0.5","0.907600596125186","0.19845644983462","$3041,52","2636.54906284454"
"outstring","0.52","0.0894187779433681","0.51271186440678","0.48728813559322","0.910581222056632","0.199558985667034","$3041,52","2644.84564498346"
"outstring","0.53","0.0879284649776453","0.516949152542373","0.483050847457627","0.912071535022355","0.199558985667034","$3041,52","2647.02315325248"
"outstring","0.54","0.0864381520119225","0.529661016949152","0.470338983050847","0.913561847988077","0.201764057331863","$3041,52","2657.08379272326"
"outstring","0.55","0.0834575260804769","0.542372881355932","0.457627118644068","0.916542473919523","0.202866593164278","$3041,52","2665.38037486218"
"outstring","0.56","0.0819672131147541","0.546610169491525","0.453389830508475","0.918032786885246","0.202866593164278","$3041,52","2667.5578831312"
"outstring","0.57","0.0789865871833085","0.550847457627119","0.449152542372881","0.921013412816691","0.201764057331863","$3041,52","2667.97133406836"
"outstring","0.58","0.0730253353204173","0.563559322033898","0.436440677966102","0.926974664679583","0.200661521499449","$3041,52","2672.73980154355"
"outstring","0.59","0.0700447093889717","0.572033898305085","0.427966101694915","0.929955290611028","0.200661521499449","$3041,52","2677.09481808159"
"outstring","0.6","0.0685543964232489","0.584745762711864","0.415254237288136","0.931445603576751","0.202866593164278","$3041,52","2687.15545755237"
"outstring","0.61","0.0566318926974665","0.610169491525424","0.389830508474576","0.943368107302534","0.200661521499449","$3041,52","2696.69239250276"
"outstring","0.62","0.0551415797317437","0.622881355932203","0.377118644067797","0.944858420268256","0.202866593164278","$3041,52","2706.75303197354"
"outstring","0.63","0.0506706408345753","0.627118644067797","0.372881355932203","0.949329359165425","0.200661521499449","$3041,52","2705.40242557883"
"outstring","0.64","0.0506706408345753","0.63135593220339","0.36864406779661","0.949329359165425","0.201764057331863","$3041,52","2709.34399117971"
"outstring","0.65","0.0491803278688525","0.652542372881356","0.347457627118644","0.950819672131147","0.206174200661522","$3041,52","2727.28776185226"
"outstring","0.66","0.0476900149031297","0.673728813559322","0.326271186440678","0.95230998509687","0.21058434399118","$3041,52","2745.23153252481"
"outstring","0.67","0.0476900149031297","0.673728813559322","0.326271186440678","0.95230998509687","0.21058434399118","$3041,52","2745.23153252481"
"outstring","0.68","0.0417287630402385","0.686440677966102","0.313559322033898","0.958271236959762","0.209481808158765","$3041,52","2750"
"outstring","0.69","0.0327868852459016","0.694915254237288","0.305084745762712","0.967213114754098","0.205071664829107","$3041,52","2747.29878721058"
"outstring","0.7","0.0283159463487332","0.699152542372881","0.300847457627119","0.971684053651267","0.202866593164278","$3041,52","2745.94818081588"
"outstring","0.71","0.0268256333830104","0.716101694915254","0.283898305084746","0.97317436661699","0.206174200661522","$3041,52","2759.95038588754"
"outstring","0.72","0.0208643815201192","0.724576271186441","0.275423728813559","0.979135618479881","0.203969128996692","$3041,52","2760.77728776185"
"outstring","0.73","0.0119225037257824","0.754237288135593","0.245762711864407","0.988077496274218","0.205071664829107","$3041,52","2777.78390297685"
"outstring","0.74","0.00894187779433681","0.766949152542373","0.233050847457627","0.991058122205663","0.206174200661522","$3041,52","2786.08048511577"
"outstring","0.75","0.00745156482861401","0.783898305084746","0.216101694915254","0.992548435171386","0.209481808158765","$3041,52","2800.08269018743"
"outstring","0.76","0.00447093889716841","0.800847457627119","0.199152542372881","0.995529061102832","0.211686879823594","$3041,52","2812.32083792723"
"outstring","0.77","0.00447093889716841","0.826271186440678","0.173728813559322","0.995529061102832","0.218302094818082","$3041,52","2835.97023153252"
"outstring","0.78","0.00447093889716841","0.843220338983051","0.156779661016949","0.995529061102832","0.22271223814774","$3041,52","2851.73649393605"
"outstring","0.79","0.00447093889716841","0.864406779661017","0.135593220338983","0.995529061102832","0.228224917309813","$3041,52","2871.44432194046"
"outstring","0.8","0.0029806259314456","0.885593220338983","0.114406779661017","0.997019374068554","0.232635060639471","$3041,52","2889.38809261301"
